,code,company,slope,intercept
102,207940,삼성바이오로직스,3025.8209129017237,161682.34746157425
26,51900,LG생활건강,2979.8546145323407,504178.59112414025
165,128940,한미약품,1491.270675222356,166188.42336491
126,36570,엔씨소프트,1208.164479278951,125512.01637012744
116,68270,셀트리온,974.5112353935575,-8841.023850817262
130,7310,오뚜기,945.3128049506723,615655.762923403
90,11170,롯데케미칼,861.9180019023083,173319.31907235942
72,6650,대한유화,785.0610743738513,85909.45345833455
31,51910,LG화학,548.509196770146,223024.511653557
71,69620,대웅제약,491.36237906646767,39561.94235625345
46,96770,SK이노베이션,473.7369683370082,86602.51647171509
117,4170,신세계,431.6189871859414,180694.71453864686
42,34730,SK,406.7832205860324,187267.84314863727
100,6400,삼성SDI,360.5799137989418,102435.16094389459
131,271560,오리온,309.6275559883155,100297.94303797468
40,10950,S-Oil,302.94067113252066,45381.50959277857
106,9150,삼성전기,283.1000987185274,40490.360781354306
122,90430,아모레퍼시픽,258.5690450859092,262699.1060285026
164,8930,한미사이언스,254.80284593788807,39952.8422964682
52,10130,고려아연,232.06076844316638,416153.09261893015
147,3240,태광산업,219.29491818105691,1152691.1734827156
141,185750,종근당,217.8311371980426,61515.71831095316
135,100,유한양행,206.78793432065206,176449.90357878848
62,6280,녹십자,201.44718225161645,146638.6236321946
169,14680,한솔케미칼,188.11744535534163,40884.26116738746
188,17800,현대엘리베이,181.4237570850677,38363.726097452105
38,5490,POSCO,179.05669259237388,249467.07108234407
49,660,SK하이닉스,177.27285313892554,28979.25144399617
139,20150,일진머티리얼즈,161.83123111656593,-602.7792207004022
28,11070,LG이노텍,150.6118446886329,93658.13136737005
16,1060,JW중외제약,131.82141020083762,17668.371663267793
155,71050,한국금융지주,119.4866836746779,41163.47633007285
191,9540,현대중공업,117.84812647379655,92977.5828540894
107,5930,삼성전자,116.12295744560889,19605.915885409107
197,4800,효성,111.3594709348628,44960.13713332102
159,161890,한국콜마,110.00119770028199,58558.58415812846
171,9420,한올바이오파마,106.32696683904874,901.6590717789495
29,66570,LG전자,102.71709485285801,54307.82370185469
18,105560,KB금융,96.52708620873146,31455.69616579108
21,33780,KT&G,89.62788219566818,90359.286564305
112,145990,삼양사,80.82019783072792,75197.04815255565
125,12750,에스원,80.11470565764922,79829.38205671494
87,4000,롯데정밀화학,78.46773432138602,32283.05227411256
23,3550,LG,76.87998075672638,58866.017473079264
11,78930,GS,71.28648690486555,43471.15926044176
8,5830,DB손해보험,67.617670716495,54752.420689054656
151,103140,풍산,66.03271957032251,24544.1804777523
64,4370,농심,64.42076178408635,305774.3882971004
121,2790,아모레G,63.32316455767994,117816.67053667315
143,192820,코스맥스,63.08260803425167,129380.62820642313
194,1450,현대해상,61.0174413852488,26187.41473891969
54,11780,금호석유,59.8003410276402,71362.46770963342
80,14820,동원시스템즈,57.81599854007343,41684.057992047135
63,5250,녹십자홀딩스,52.473601384661634,23485.973645255854
152,86790,하나금융지주,49.827934841101204,29612.3399994195
98,3000,부광약품,48.7534387971923,8460.939301298466
93,204320,만도,48.73765301175614,36172.85594170404
144,120110,코오롱인더,48.34266972397179,59378.87702086902
13,7070,GS리테일,48.05513825097726,34641.01819870548
179,9830,한화케미칼,46.27812135206015,16908.60592691493
176,880,한화,44.991559402314536,28927.94427145215
35,35420,NAVER,44.52822786064374,140012.7303863234
9,990,DB하이텍,44.48161596791364,7627.954459698721
48,17670,SK텔레콤,43.656175279265995,239278.05996575046
33,6260,LS,41.71082977943299,56616.66037790613
12,6360,GS건설,38.253749013318824,26407.888802727542
113,70,삼양홀딩스,37.866712306053444,111172.51618146461
128,3520,영진약품,37.573430870841534,944.0145995994544
145,21240,코웨이,36.8625457102813,84948.2164107625
199,93370,후성,34.93174609688161,1898.6590427538958
43,11790,SKC,33.12093336549442,30234.77926450527
67,210,대림산업,32.97072039837046,75717.16831625692
85,115390,락앤락,32.280524759534146,11488.536557048734
133,30,우리은행,26.951142171665143,9353.532815334338
17,96760,JW홀딩스,24.412255314620843,3846.7467150106822
7,97950,CJ제일제당,23.909967635402698,355490.43624648073
27,32640,LG유플러스,22.937698567196822,9278.729573622037
138,7570,일양약품,21.926689399618525,35767.57466693757
167,20000,한섬,20.392532088525734,31783.43105099701
111,810,삼성화재,18.928501963861493,274787.46408150234
36,5940,NH투자증권,18.533494405672087,9399.77592662468
6,120,CJ대한통운,16.9794866302953,167980.74188024265
59,25860,남해화학,16.59214235218327,8051.09946884161
103,32830,삼성생명,15.730308589646208,105681.54587408934
119,3410,쌍용양회,15.4221803357691,1059.2005403958728
170,18880,한온시스템,14.228906212728248,8256.333846109193
74,1230,동국제강,13.23858466004462,7076.088834150438
97,3850,보령제약,12.621715033066206,8029.019933429136
75,26960,동서,11.40656052840268,25495.98583577627
200,69260,휴켐스,11.09692664769696,21854.713667895394
124,5850,에스엘,9.883863107194841,17694.125330159928
142,35720,카카오,8.792087571574267,110418.6631062607
57,24110,기업은행,6.653825584813027,13055.912402403274
118,55550,신한지주,5.948566946608256,44044.32270049052
94,8560,메리츠종금증권,5.229838151767642,3254.8619207668416
66,8060,대덕전자,4.800339359533944,7977.868690680057
134,14830,유니드,4.503795020167747,46507.62770734903
78,1520,동양,3.531844648598407,1661.361448930427
34,10120,LS산전,3.509879025599097,55347.49513830436
14,12630,HDC,3.3772037271118354,23176.373382413432
183,64350,현대로템,2.867341182106825,20855.201288712156
149,28670,팬오션,2.3188828625770705,4329.284641395525
65,19680,대교,2.061225504276858,7673.9108350506485
137,139480,이마트,0.007339667466371712,219411.25591385365
45,6120,SK디스커버리,-1.656124727063783,41090.47850831313
0,6840,AK홀딩스,-2.817549142851276,67689.05199819934
180,720,현대건설,-3.199728031958257,46580.15992801788
162,47810,한국항공우주,-3.3699415929280403,55034.052187037414
20,30200,KT,-7.491281642724338,31285.05500246713
177,88350,한화생명,-7.903720911146318,7778.267639973297
69,47040,대우건설,-8.134917100124072,7602.293704466955
96,6800,미래에셋대우,-9.414691545470406,10926.02182683656
140,30000,제일기획,-11.294997582914055,21263.50100136418
83,42670,두산인프라코어,-11.315378504983135,10742.992772762895
160,161390,한국타이어,-12.263550110411952,53832.83603750037
81,150,두산,-12.606012321967194,114320.6571271007
161,240,한국타이어월드와이드,-12.728634811842618,21909.369285693552
110,29780,삼성카드,-14.565953751420809,41109.82643020927
154,36460,한국가스공사,-14.785443170789724,50558.31712768119
5,79160,CJ CGV,-15.072757789972774,76905.3536702174
148,36580,팜스코,-15.202036023755168,15201.690128580965
60,2350,넥센타이어,-15.30852459005455,15096.693756712042
73,3490,대한항공,-15.491247394905134,34158.074179393894
51,35250,강원랜드,-15.751059831301077,37113.52857516036
153,80,하이트진로,-16.259081587409938,24841.466635706616
44,1740,SK네트웍스,-17.66218913589094,9449.610338722317
22,93050,LF,-17.78474823772916,30042.665370214498
120,3620,쌍용차,-18.786973157835213,9627.081676486809
156,25540,한국단자,-21.084746135915275,70527.32272951557
92,71840,롯데하이마트,-21.18977010493389,65950.57034220532
181,5440,현대그린푸드,-23.259206028135615,20739.143180564828
39,64960,S&T모티브,-23.506752994500918,50757.70760166024
175,97230,한진중공업,-23.897142261894352,7824.454620265
24,34220,LG디스플레이,-23.938442208959664,30735.226250253967
163,60980,한라홀딩스,-24.505790505721436,61056.40487381726
55,73240,금호타이어,-25.56754479115476,11644.847037993788
82,241560,두산밥캣,-28.51462397922575,36784.347345132745
3,138930,BNK금융지주,-29.38596202120297,15077.383665041798
25,1120,LG상사,-30.51581848468561,34080.978434388875
166,9240,한샘,-30.91563018885298,166925.90195338576
115,1430,세아베스틸,-36.85492246475375,33238.38417554349
53,2240,고려제강,-38.89945113729282,40014.33261674496
123,10780,아이에스동서,-40.44473714148643,48450.55728093344
158,15760,한국전력,-41.72178923744524,48978.472121440805
178,12450,한화에어로스페이스,-44.80261465644851,44757.61907526195
186,10620,현대미포조선,-45.29224554123542,52222.183844657935
1,27410,BGF,-50.3042538155739,42166.79781458657
184,79430,현대리바트,-50.705542216265975,37381.386236321945
136,214320,이노션,-55.22702096382017,72082.11133129166
109,16360,삼성증권,-55.74948806378203,46948.21052874722
41,34120,SBS,-58.544056854398676,36433.51086988071
114,4490,세방전지,-59.40178040315459,47671.588831161294
108,10140,삼성중공업,-59.911837508179566,19711.255468076975
150,47050,포스코대우,-65.67077387785659,33923.4711055641
168,105630,한세실업,-67.48632403097206,40720.13322497315
84,34020,두산중공업,-69.08248485109316,31975.41694482338
196,8770,호텔신라,-71.34685566977635,93907.13871070734
77,170900,동아에스티,-76.39669701619164,119922.0590369489
10,114090,GKL,-77.94568379177898,39809.50715467449
88,4990,롯데지주,-82.16260966547463,85072.64040867268
190,4020,현대제철,-84.5675484609885,70333.39331843381
50,5610,SPC삼립,-84.85386221642612,189066.9404696253
68,1680,대상,-88.82543968778387,43670.154993759614
127,111770,영원무역,-91.55427800858808,53556.61190607494
4,1040,CJ,-91.9948915914434,196472.89060459178
95,33920,무학,-92.32358037941444,39964.2177124945
99,5180,빙그레,-101.13114284294012,85291.50727077467
76,640,동아쏘시오홀딩스,-110.04283363209117,157099.52108669782
105,28050,삼성엔지니어링,-111.5067484998854,34925.94062977703
37,10060,OCI,-112.65415386812153,125957.85562940818
56,270,기아차,-113.20993350594895,58131.529910312594
132,1800,오리온홀딩스,-123.81356846044703,54568.99438859598
79,49770,동원F&B,-138.46582934405725,289302.6151568804
172,3300,한일홀딩스,-159.12278698853675,156800.80730771014
174,52690,한전기술,-164.8515669022366,56035.266885322024
2,282330,BGF리테일,-183.1086336530983,193381.42770719904
195,57050,현대홈쇼핑,-188.30413980598587,151654.98795460482
101,28260,삼성물산,-190.47409737869225,158110.11161307467
185,12330,현대모비스,-196.10390433610877,273469.422111282
187,69960,현대백화점,-233.12818962764862,151262.16004411806
173,51600,한전KPS,-235.75295479999238,97358.50869300205
146,192400,쿠쿠홀딩스,-291.00434578008714,180288.66859588318
193,5380,현대차,-327.77210065619965,201983.03776158826
86,23530,롯데쇼핑,-397.07867889989063,302643.19507735176
104,18260,삼성에스디에스,-439.3885855396046,265436.3939324293
32,79550,LIG넥스원,-470.13355893152857,112289.42268461853
91,2270,롯데푸드,-481.6473283109991,806095.4343598526
30,108670,LG하우시스,-526.7283165371716,195652.35828520014
61,251270,넷마블,-542.4199897936867,168939.00208986417
157,2960,한국쉘석유,-575.5845628110393,506722.5640727948
182,86280,현대글로비스,-608.9460204156186,268679.28772530693
189,11210,현대위아,-630.0900176852623,185848.69387281223
198,298040,효성중공업,-632.3076923076924,57688.46153846154
58,3920,남양유업,-665.7151788660279,826135.3728267495
15,294870,HDC현대산업개발,-675.5839822024471,60667.63440860215
192,267250,현대중공업지주,-688.8076838958957,431544.01776384533
47,285130,SK케미칼,-902.0105865277897,113453.19303338171
70,42660,대우조선해양,-1071.7242313449844,239797.41677067312
19,2380,KCC,-1103.8838184019476,579520.5787594694
129,670,영풍,-1992.1625696309247,1361358.8947261486
89,5300,롯데칠성,-2095.801009604622,1994589.8180129451
